Q1_What is your age (# years)?;Q4_What is the highest level of formal education that you have attained or plan to attain within the next 2 years?;Q5_Select the title most similar to your current role;Q6_For how many years have you been writing code and/or programming?;Q8_What programming language would you recommend an aspiring data scientist to learn first?;Q13_Approximately how many times have you used a TPU (tensor processing unit)?;Q15_For how many years have you used machine learning methods?;Q20_What is the size of the company where you are employed?;Q22_Does your current employer incorporate machine learning methods into their business?;Q24_What is your current yearly compensation (approximate $USD)?;Q30_Which of the following big data products (relational database, data warehouse, data lake, or similar) do you use most often?;Q32_Which of the following business intelligence tools do you use most often?;Q7_No. of Regular used programming languages?;Q9_No. of Specialized IDE?;Q14_No. of DataViz Libs or Tools?;Q16_No. of ML Framworks?;Q17_No. of ML algorithms?;Q18_No. of Computer Vsion methods?;Q19_No. of NLP methods?;Q26_A No. of Current Cloud platforms?;Q27_A No. of Current Cloud Products?;Q28_A No. of Current ML products?;Q29_A No. of Big Data Tools?;Q31_A No. of BI Tools used?;Q33_A No. of Automted ML Tools?;Q34_A No. of Auto ML Tools?;Q35_A No. of ML Experiment Management?;Q37_No. of Learning Platforms?
25-29;Bachelor’s degree;Data Scientist;< 1 years;Python;Once;1-2 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);$0-999;z_Not selected;z_Not selected;1;1;2;4;4;0;0;1;1;1;0;1;1;1;1;1
25-29;Master’s degree;Data Scientist;3-5 years;Python;2-5 times;2-3 years;0-49 employees;We use ML methods for generating insights (but do not put working models into production);$0-999;Google Cloud BigQuery ;Google Data Studio;4;3;3;4;7;5;3;3;6;5;12;2;6;4;1;7
30-34;Doctoral degree;Data Scientist;10-20 years;Python;Never;3-4 years;0-49 employees;z_Not selected;z_Not selected;z_Not selected;z_Not selected;3;2;2;3;3;2;0;0;0;0;0;0;0;0;0;0
35-39;Master’s degree;Software Engineer;20+ years;Python;Never;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0
18-21;Some college/university study without earning a bachelor’s degree;Data Scientist;1-2 years;C;2-5 times;1-2 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;SQLite ;Tableau;6;3;6;6;9;3;4;3;5;1;6;3;1;0;1;7
30-34;Master’s degree;Data Scientist;3-5 years;Python;Once;2-3 years;1000-9,999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;Microsoft Azure Data Lake Storage ;z_Not selected;4;1;3;5;3;2;2;3;4;4;6;1;1;0;1;1
35-39;Master’s degree;Data Scientist;10-20 years;Python;Never;10-20 years;250-999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;z_Not selected;z_Not selected;3;3;5;11;3;0;0;0;0;0;0;0;0;0;0;6
22-24;Bachelor’s degree;Software Engineer;< 1 years;Python;Never;Under 1 year;0-49 employees;No (we do not use ML methods);$0-999;PostgresSQL ;z_Not selected;1;2;1;3;1;0;0;1;1;1;2;0;1;0;1;1
60-69;Master’s degree;Software Engineer;10-20 years;Python;Never;I do not use machine learning methods;1000-9,999 employees;I do not know;15,000-19,999;MySQL ;z_Not selected;1;0;0;0;0;0;0;0;0;0;3;0;1;0;1;3
30-34;Bachelor’s degree;Software Engineer;5-10 years;Python;Never;1-2 years;0-49 employees;No (we do not use ML methods);15,000-19,999;z_Not selected;z_Not selected;2;2;2;5;5;4;2;0;0;0;0;0;0;0;0;3
22-24;Master’s degree;Data Scientist;5-10 years;Python;Once;2-3 years;50-249 employees;We have well established ML methods (i.e., models in production for more than 2 years);10,000-14,999;z_Not selected;z_Not selected;3;3;2;2;5;0;0;1;0;0;0;0;0;0;0;0
60-69;Master’s degree;Data Scientist;20+ years;SQL;Never;3-4 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;Microsoft SQL Server ;Tableau;5;8;4;3;5;0;0;0;0;0;3;3;1;0;1;5
22-24;Master’s degree;Data Analyst;1-2 years;SQL;Never;1-2 years;250-999 employees;No (we do not use ML methods);3,000-3,999;z_Not selected;z_Not selected;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;4
30-34;Master’s degree;Data Scientist;3-5 years;R;2-5 times;2-3 years;1000-9,999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);15,000-19,999;z_Not selected;z_Not selected;2;3;2;3;3;1;0;2;2;0;0;0;0;0;0;0
30-34;Master’s degree;Data Scientist;3-5 years;Python;2-5 times;5-10 years;50-249 employees;We are exploring ML methods (and may one day put a model into production);4,000-4,999;z_Not selected;z_Not selected;2;3;4;7;7;2;2;0;0;0;0;0;2;1;1;0
25-29;Master’s degree;Software Engineer;3-5 years;Java;Never;Under 1 year;250-999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);2,000-2,999;MongoDB ;z_Not selected;5;3;2;2;3;0;0;4;2;1;3;1;1;1;1;2
25-29;Bachelor’s degree;Data Scientist;3-5 years;SQL;Never;2-3 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);4,000-4,999;z_Not selected;z_Not selected;2;3;2;4;4;1;0;0;0;0;1;0;1;0;1;5
30-34;Master’s degree;Data Scientist;1-2 years;Python;2-5 times;1-2 years;50-249 employees;We are exploring ML methods (and may one day put a model into production);$0-999;Oracle Database ;z_Not selected;1;1;1;1;2;2;0;1;0;0;3;0;1;2;1;1
30-34;Master’s degree;Data Analyst;5-10 years;Python;2-5 times;5-10 years;10,000 or more employees;We recently started using ML methods (i.e., models in production for less than 2 years);30,000-39,999;Google Cloud BigQuery ;z_Not selected;3;3;4;2;4;1;2;2;3;1;2;1;1;0;1;3
35-39;Master’s degree;Data Analyst;1-2 years;Python;Never;Under 1 year;1000-9,999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;Microsoft SQL Server ;z_Not selected;2;3;2;2;3;0;0;2;1;1;2;1;1;0;1;5
50-54;No formal education past high school;Data Analyst;20+ years;Python;2-5 times;20 or more years;10,000 or more employees;I do not know;25,000-29,999;z_Not selected;z_Not selected;1;2;3;4;6;1;1;0;0;0;0;0;0;0;0;1
35-39;Professional degree;Data Analyst;3-5 years;Python;Never;1-2 years;50-249 employees;No (we do not use ML methods);4,000-4,999;z_Not selected;z_Not selected;2;3;4;1;4;2;0;0;0;0;0;0;0;0;0;5
25-29;Bachelor’s degree;Data Analyst;3-5 years;Python;2-5 times;4-5 years;0-49 employees;I do not know;$0-999;Oracle Database ;Microsoft Power BI;3;10;10;14;10;5;4;10;10;9;16;13;1;10;9;3
35-39;Master’s degree;Data Analyst;3-5 years;Python;6-25 times;2-3 years;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);60,000-69,999;MySQL ;z_Not selected;1;4;4;6;5;0;0;3;1;3;3;1;1;0;1;7
22-24;Master’s degree;Data Scientist;3-5 years;Python;Never;3-4 years;250-999 employees;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;z_Not selected;z_Not selected;2;3;4;4;7;4;0;0;0;0;0;0;0;0;0;0
25-29;Master’s degree;Data Scientist;3-5 years;Python;Never;4-5 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);20,000-24,999;z_Not selected;z_Not selected;1;1;1;4;4;5;2;0;0;0;0;0;0;0;0;5
25-29;Doctoral degree;Software Engineer;3-5 years;R;Never;1-2 years;50-249 employees;We have well established ML methods (i.e., models in production for more than 2 years);7,500-9,999;MySQL ;z_Not selected;3;4;3;4;5;4;0;2;2;1;2;0;1;1;1;3
50-54;Some college/university study without earning a bachelor’s degree;Software Engineer;20+ years;Python;2-5 times;3-4 years;250-999 employees;I do not know;10,000-14,999;z_Not selected;z_Not selected;3;1;2;1;2;0;0;1;1;1;1;1;1;0;1;1
30-34;Bachelor’s degree;Data Analyst;5-10 years;Python;Never;Under 1 year;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);1,000-1,999;Amazon Redshift ;Microsoft Power BI;3;3;2;4;2;0;0;2;2;3;3;2;2;1;2;6
25-29;Bachelor’s degree;Software Engineer;3-5 years;Python;Never;Under 1 year;0-49 employees;z_Not selected;z_Not selected;z_Not selected;z_Not selected;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18-21;Bachelor’s degree;Data Scientist;3-5 years;Python;2-5 times;Under 1 year;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;2;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0
35-39;Bachelor’s degree;Software Engineer;10-20 years;Python;Never;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);80,000-89,999;z_Not selected;Microsoft Power BI;3;2;1;2;5;1;1;1;1;2;1;2;1;0;1;2
40-44;Master’s degree;Data Analyst;10-20 years;Julia;Never;2-3 years;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);60,000-69,999;z_Not selected;z_Not selected;3;2;3;5;3;0;0;0;0;0;1;1;1;0;1;1
25-29;Bachelor’s degree;Data Analyst;3-5 years;Python;Never;1-2 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);5,000-7,499;z_Not selected;z_Not selected;3;3;2;1;2;0;0;1;1;1;0;1;1;0;1;4
25-29;Master’s degree;Data Analyst;3-5 years;SQL;Never;1-2 years;1000-9,999 employees;We use ML methods for generating insights (but do not put working models into production);30,000-39,999;Amazon Redshift ;Tableau;2;1;2;2;3;0;0;1;1;1;4;2;1;0;1;3
25-29;Master’s degree;Software Engineer;5-10 years;Python;Never;I do not use machine learning methods;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;z_Not selected;z_Not selected;1;4;2;0;0;0;0;1;2;1;0;0;1;0;1;4
45-49;I prefer not to answer;Data Scientist;1-2 years;Python;Never;Under 1 year;0-49 employees;No (we do not use ML methods);10,000-14,999;z_Not selected;z_Not selected;1;1;2;2;4;0;0;1;1;1;1;1;2;1;1;1
35-39;Master’s degree;Software Engineer;10-20 years;Python;2-5 times;Under 1 year;1000-9,999 employees;I do not know;$0-999;Oracle Database ;z_Not selected;3;3;3;3;3;1;0;0;0;0;2;0;1;0;1;3
22-24;Master’s degree;Data Scientist;1-2 years;Python;Never;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);z_Not selected;z_Not selected;z_Not selected;1;1;1;5;3;0;0;0;0;0;0;0;0;0;0;0
22-24;Bachelor’s degree;Software Engineer;1-2 years;Python;Never;Under 1 year;10,000 or more employees;I do not know;1,000-1,999;z_Not selected;z_Not selected;3;3;2;1;1;0;0;0;0;0;0;0;0;0;0;2
25-29;Master’s degree;Data Scientist;5-10 years;Python;More than 25 times;3-4 years;1000-9,999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;z_Not selected;z_Not selected;4;3;3;3;4;2;4;0;0;0;0;0;0;0;0;5
25-29;Master’s degree;Data Scientist;1-2 years;Python;Once;Under 1 year;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);4,000-4,999;PostgresSQL ;z_Not selected;2;4;3;4;5;2;1;3;7;5;7;1;6;2;1;3
25-29;Master’s degree;Data Analyst;< 1 years;Python;Never;Under 1 year;50-249 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;3
25-29;Master’s degree;Software Engineer;5-10 years;C;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45-49;No formal education past high school;Data Analyst;10-20 years;Python;6-25 times;1-2 years;50-249 employees;We have well established ML methods (i.e., models in production for more than 2 years);15,000-19,999;Microsoft SQL Server ;z_Not selected;4;4;4;4;4;0;0;2;2;1;2;1;1;1;1;2
35-39;Bachelor’s degree;Software Engineer;I have never written code;z_Not selected;z_Not selected;z_Not selected;0-49 employees;z_Not selected;z_Not selected;z_Not selected;z_Not selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45-49;Master’s degree;Software Engineer;20+ years;R;2-5 times;20 or more years;10,000 or more employees;We recently started using ML methods (i.e., models in production for less than 2 years);25,000-29,999;z_Not selected;z_Not selected;7;4;5;3;7;2;0;0;0;0;0;0;0;0;0;3
25-29;Bachelor’s degree;Data Analyst;1-2 years;Python;Never;3-4 years;1000-9,999 employees;We use ML methods for generating insights (but do not put working models into production);50,000-59,999;PostgresSQL ;z_Not selected;1;3;4;2;2;0;0;0;0;0;3;1;1;0;1;5
35-39;Doctoral degree;Data Scientist;1-2 years;Python;2-5 times;4-5 years;10,000 or more employees;We recently started using ML methods (i.e., models in production for less than 2 years);90,000-99,999;z_Not selected;z_Not selected;4;3;3;5;4;0;0;0;0;0;0;0;0;0;0;6
35-39;Master’s degree;Software Engineer;I have never written code;z_Not selected;z_Not selected;z_Not selected;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
40-44;Doctoral degree;Software Engineer;20+ years;Python;Never;3-4 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;z_Not selected;z_Not selected;5;4;2;3;2;2;0;0;0;0;0;0;0;0;0;2
25-29;Bachelor’s degree;Data Scientist;3-5 years;Python;2-5 times;1-2 years;10,000 or more employees;We recently started using ML methods (i.e., models in production for less than 2 years);10,000-14,999;z_Not selected;z_Not selected;5;3;3;3;3;3;0;2;1;1;1;1;1;0;1;2
25-29;Master’s degree;Data Scientist;< 1 years;Python;Never;2-3 years;250-999 employees;No (we do not use ML methods);$0-999;z_Not selected;z_Not selected;2;10;10;14;10;5;4;0;0;0;0;0;0;0;0;3
18-21;Some college/university study without earning a bachelor’s degree;Data Analyst;3-5 years;R;6-25 times;1-2 years;0-49 employees;We recently started using ML methods (i.e., models in production for less than 2 years);$0-999;z_Not selected;z_Not selected;6;3;4;1;7;5;4;0;0;0;0;0;0;0;0;2
22-24;Master’s degree;Software Engineer;3-5 years;Python;Never;1-2 years;0-49 employees;I do not know;$0-999;z_Not selected;z_Not selected;5;5;3;3;5;3;0;0;0;0;0;0;0;0;0;1
40-44;Bachelor’s degree;Software Engineer;10-20 years;Python;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30-34;Master’s degree;Software Engineer;10-20 years;Python;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22-24;Bachelor’s degree;Software Engineer;1-2 years;Python;Once;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;1;4;9;3;4;0;0;1;1;1;0;0;1;0;1;2
45-49;Bachelor’s degree;Software Engineer;20+ years;Python;Never;2-3 years;250-999 employees;We are exploring ML methods (and may one day put a model into production);40,000-49,999;z_Not selected;z_Not selected;3;3;2;4;4;0;1;0;0;0;0;0;0;0;0;4
25-29;Master’s degree;Data Scientist;3-5 years;Python;Never;1-2 years;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);40,000-49,999;SQLite ;z_Not selected;5;4;5;4;8;0;4;2;1;1;3;0;1;0;1;3
25-29;Master’s degree;Software Engineer;1-2 years;Python;Never;Under 1 year;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;4;2;2;0;1;0;0;0;0;0;0;0;0;0;0;5
35-39;Some college/university study without earning a bachelor’s degree;Data Analyst;< 1 years;Python;Never;I do not use machine learning methods;10,000 or more employees;No (we do not use ML methods);5,000-7,499;z_Not selected;Google Data Studio;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0
30-34;Master’s degree;Data Scientist;10-20 years;Python;Once;2-3 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);z_Not selected;z_Not selected;z_Not selected;2;3;2;3;5;0;2;0;0;0;0;0;0;0;0;0
30-34;Master’s degree;Data Analyst;3-5 years;Python;Never;4-5 years;10,000 or more employees;We have well established ML methods (i.e., models in production for more than 2 years);100,000-124,999;PostgresSQL ;z_Not selected;2;1;1;1;2;0;0;1;1;1;4;1;1;0;1;3
25-29;Master’s degree;Data Scientist;5-10 years;Python;Never;Under 1 year;250-999 employees;I do not know;15,000-19,999;Amazon Athena ;Microsoft Power BI;5;3;4;0;3;0;0;2;6;2;7;2;1;0;1;0
30-34;Doctoral degree;Data Scientist;10-20 years;Python;Never;3-4 years;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);80,000-89,999;Other;z_Not selected;1;3;3;6;3;0;0;1;4;2;2;0;1;0;1;1
18-21;Bachelor’s degree;Data Analyst;3-5 years;C;Never;1-2 years;0-49 employees;We are exploring ML methods (and may one day put a model into production);$0-999;z_Not selected;z_Not selected;3;2;4;2;3;0;0;0;0;0;0;0;0;0;0;0
25-29;Master’s degree;Data Scientist;3-5 years;Python;Once;4-5 years;50-249 employees;We have well established ML methods (i.e., models in production for more than 2 years);50,000-59,999;PostgresSQL ;z_Not selected;3;3;4;6;4;1;2;2;5;1;4;1;1;1;1;5
35-39;Master’s degree;Data Analyst;10-20 years;SQL;Never;2-3 years;50-249 employees;We are exploring ML methods (and may one day put a model into production);1,000-1,999;Microsoft SQL Server ;Tableau;3;3;3;5;3;2;0;1;2;1;2;2;1;0;1;4
25-29;Bachelor’s degree;Software Engineer;3-5 years;Python;Never;I do not use machine learning methods;0-49 employees;No (we do not use ML methods);2,000-2,999;MySQL ;z_Not selected;2;4;0;0;0;0;0;1;1;1;4;0;1;0;1;5
50-54;Master’s degree;Data Scientist;20+ years;Python;Never;20 or more years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);150,000-199,999;z_Not selected;z_Not selected;1;0;0;0;6;0;0;1;1;1;1;1;1;0;1;1
35-39;Master’s degree;Data Analyst;5-10 years;Python;Never;10-20 years;1000-9,999 employees;We have well established ML methods (i.e., models in production for more than 2 years);40,000-49,999;z_Not selected;z_Not selected;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
18-21;Bachelor’s degree;Data Scientist;1-2 years;Python;2-5 times;Under 1 year;z_Not selected;z_Not selected;z_Not selected;z_Not selected;z_Not selected;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
40-44;Doctoral degree;Data Scientist;5-10 years;R;Never;4-5 years;0-49 employees;We have well established ML methods (i.e., models in production for more than 2 years);125,000-149,999;z_Not selected;z_Not selected;1;2;2;3;3;0;0;0;0;0;0;0;0;0;0;1
30-34;Master’s degree;Software Engineer;10-20 years;Python;Never;Under 1 year;50-249 employees;I do not know;30,000-39,999;z_Not selected;z_Not selected;4;5;2;0;1;0;0;0;0;0;0;0;0;0;0;2
25-29;Master’s degree;Data Scientist;5-10 years;Python;Never;2-3 years;1000-9,999 employees;We have well established ML methods (i.e., models in production for more than 2 years);20,000-24,999;Amazon Redshift ;z_Not selected;2;2;2;2;3;0;0;2;1;1;2;1;1;0;1;4
30-34;Doctoral degree;Data Scientist;10-20 years;SQL;Never;4-5 years;50-249 employees;We recently started using ML methods (i.e., models in production for less than 2 years);150,000-199,999;z_Not selected;z_Not selected;2;2;2;1;2;0;0;0;0;0;0;0;0;0;0;2
22-24;Bachelor’s degree;Data Scientist;3-5 years;Python;Never;Under 1 year;1000-9,999 employees;We recently started using ML methods (i.e., models in production for less than 2 years);4,000-4,999;z_Not selected;z_Not selected;2;2;1;2;3;0;0;2;2;2;0;0;2;0;0;0
35-39;Master’s degree;Software Engineer;10-20 years;Python;2-5 times;2-3 years;0-49 employees;No (we do not use ML methods);15,000-19,999;Microsoft SQL Server ;z_Not selected;5;4;3;7;7;2;1;1;1;1;6;0;1;0;1;3
25-29;Master’s degree;Data Scientist;I have never written code;z_Not selected;z_Not selected;z_Not selected;50-249 employees;z_Not selected;z_Not selected;z_Not selected;z_Not selected;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
